Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Max Exposure,Name,Team,Min,Ur,Fd,Value,Name,Fpts,Value
41866-66968,SF,Derrick,Derrick Jones,Jones,21.94,14,4700,NY@MIA,MIA,NY,,,,0,,,,,,,,,
41866-58460,SG,Devin,Devin Booker,Booker,38.44999949,24,7500,PHO@OKC,PHO,OKC,GTD,Forearm,,0,,,,,,,,,
41866-110307,PF,Dewan,Dewan Hernandez,Hernandez,3.599999905,4,3500,WAS@TOR,TOR,WAS,,,,0,,,,,,,,,
41866-16301,C,Dewayne,Dewayne Dedmon,Dedmon,11.85714286,21,3700,SAC@IND,SAC,IND,,,,0,,,,,,,,,
41866-16220,SF,Dion,Dion Waiters,Waiters,20.402273,44,3700,NY@MIA,MIA,NY,O,Suspension,,0,,,,,,,,,
41866-16376,SF,Dorian,Dorian Finney-Smith,Finney-Smith,23.31,27,4200,DAL@PHI,DAL,PHI,,,,0,,,,,,,,,
41866-18256,SF,Doug,Doug McDermott,McDermott,14.42857143,28,3600,SAC@IND,IND,SAC,,,,0,,,,,,,,,
41866-85137,SG,Duncan,Duncan Robinson,Robinson,22.33,28,4400,NY@MIA,MIA,NY,,,,0,,,,,,,,,
41866-16196,C,Dwight,Dwight Powell,Powell,18.91666667,24,4400,DAL@PHI,DAL,PHI,,,,0,,,,,,,,,
41866-110341,SG,Dylan,Dylan Windler,Windler,0,0,3500,MEM@CLE,CLE,MEM,O,Lower leg,,0,,,,,,,,,
41866-14554,SF,E'Twaun,E'Twaun Moore,Moore,16.77647131,17,3700,NO@GS,NO,GS,,,,0,,,,,,,,,
41866-58270,PG,Edmond,Edmond Sumner,Sumner,11.65999985,5,3500,SAC@IND,IND,SAC,,,,0,,,,,,,,,
41866-19138,PG,Elfrid,Elfrid Payton,Payton,23.86,11,4600,NY@MIA,NY,MIA,,,,0,,,,,,,,,
41866-84686,SG,Elie,Elie Okobo,Okobo,9.931578787,19,3500,PHO@OKC,PHO,OKC,,,,0,,,,,,,,,
41866-14516,C,Enes,Enes Kanter,Kanter,19.88888889,18,3900,DET@BOS,BOS,DET,,,,0,,,,,,,,,
41866-110323,PF,Eric,Eric Paschall,Paschall,23.7,26,5000,NO@GS,GS,NO,GTD,Hip,,0,,,,,,,,,
41866-80824,PG,Frank,Frank Jackson,Jackson,9.956521739,23,3500,NO@GS,NO,GS,,,,0,,,,,,,,,
41866-80813,PG,Frank,Frank Ntilikina,Ntilikina,16.99230722,26,3900,NY@MIA,NY,MIA,GTD,Illness,,0,,,,,,,,,
41866-24247,SG,Fred,Fred VanVleet,VanVleet,36.7,22,7100,WAS@TOR,TOR,WAS,GTD,Knee,,0,,,,,,,,,
41866-70826,SG,Furkan,Furkan Korkmaz,Korkmaz,12.86428615,28,3500,DAL@PHI,PHI,DAL,,,,0,,,,,,,,,
41866-111622,SG,Garrison,Garrison Mathews,Mathews,4.040000153,5,3500,WAS@TOR,WAS,TOR,,,,0,,,,,,,,,
