Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Max Exposure,Roster Order
41852-82045,W,Martin,Martin Necas,Necas,5.75367,30,3300,CAR@COL,CAR,COL,,,,,3
41852-82155,W,Mason,Mason Appleton,Appleton,5.40667,9,3000,CHI@WPG,WPG,CHI,,,,,3
41852-66685,C,Mathew,Mathew Barzal,Barzal,8.97007,32,6400,NYI@BOS,NYI,BOS,,,,,1
41852-12253,W,Mats,Mats Zuccarello,Zuccarello,8.9728,31,5300,MIN@ARI,MIN,ARI,,,,,1
41852-8746,W,Matt,Matt Calvert,Calvert,6.27747,27,4100,CAR@COL,COL,CAR,,,,,3
41852-8275,W,Matt,Matt Duchene,Duchene,11.7803,32,6200,NSH@OTT,NSH,OTT,,,,,2
41852-23225,D,Matt,Matt Dumba,Dumba,7.38593,35,3600,MIN@ARI,MIN,ARI,,,,,3
41852-68655,D,Matt,Matt Grzelcyk,Grzelcyk,5.6656,35,3800,NYI@BOS,BOS,NYI,,,,,3
41852-9196,W,Matt,Matt Martin,Martin,4.63773,20,3000,NYI@BOS,NYI,BOS,,,,0,4
41852-39234,W,Matt,Matt Nieto,Nieto,4.72533,34,3700,CAR@COL,COL,CAR,,,,0,4
41852-8328,D,Matt,Matt Niskanen,Niskanen,10.5334,34,4100,BUF@PHI,PHI,BUF,,,,,1
41852-79865,D,Matt,Matt Roy,Roy,6.49273,36,4100,LA@CBJ,LA,CBJ,,,,,2
41852-79790,W,Matthew,Matthew Highmore,Highmore,5.9372,6,3000,CHI@WPG,CHI,WPG,,,,0,4
41852-70904,W,Matthew,Matthew Tkachuk,Tkachuk,13.0725,35,6300,MON@CGY,CGY,MON,,,,,2
41852-14456,D,Mattias,Mattias Ekholm,Ekholm,8.74573,32,4300,NSH@OTT,NSH,OTT,,,,,2
41852-60686,W,Mattias,Mattias Janmark,Janmark,6.79453,29,4100,DAL@TB,DAL,TB,,,,,2
41852-41592,C,Max,Max Domi,Domi,8.4224,34,5400,MON@CGY,MON,CGY,,,,,2
41852-8441,W,Max,Max Pacioretty,Pacioretty,11.5088,37,7200,VGK@VAN,VGK,VAN,,,,,2
41852-59142,C,Michael,Michael Amadio,Amadio,7.4992,34,3500,LA@CBJ,LA,CBJ,,,,,3
41852-8384,W,Michael,Michael Frolik,Frolik,6.05293,34,3600,MON@CGY,CGY,MON,,,,0,4
41852-8810,W,Michael,Michael Grabner,Grabner,7.2702,34,3200,MIN@ARI,ARI,MIN,,,,0,4
41852-9189,W,Mikael,Mikael Backlund,Backlund,8.05887,36,4600,MON@CGY,CGY,MON,,,,,1
41852-23041,W,Mikael,Mikael Granlund,Granlund,11.6759,28,4800,NSH@OTT,NSH,OTT,,,,,1
41852-66656,D,Mike,Mike Reilly,Reilly,5.8828,12,3700,MON@CGY,MON,CGY,,,,0,3
41852-70907,D,Mikhail,Mikhail Sergachev,Sergachev,7.81893,32,4500,DAL@TB,TB,DAL,,,,,3
41852-79963,W,Mikhail,Mikhail Vorobyev,Vorobyev,4.873,11,3000,BUF@PHI,PHI,BUF,,,,0,4
41852-66737,W,Mikko,Mikko Rantanen,Rantanen,10.1978,18,7800,CAR@COL,COL,CAR,,,,,1
41852-8178,W,Milan,Milan Lucic,Lucic,6.9114,34,3500,MON@CGY,CGY,MON,,,,,3
41852-82174,D,Miro,Miro Heiskanen,Heiskanen,8.0454,35,4900,DAL@TB,DAL,TB,,,,,2
41852-66717,C,Mitchell,Mitchell Stephens,Stephens,4.3672,4,3000,DAL@TB,TB,DAL,,,,0,4
41852-81974,C,Morgan,Morgan Frost,Frost,6.70707,14,3600,BUF@PHI,PHI,BUF,,,,,3
41852-39243,D,Nate,Nate Schmidt,Schmidt,9.14307,25,4200,VGK@VAN,VGK,VAN,,,,,1
41852-8829,C,Nate,Nate Thompson,Thompson,4.69753,34,3200,MON@CGY,MON,CGY,,,,0,4
41852-15302,D,Nathan,Nathan Beaulieu,Beaulieu,4.32533,15,3500,CHI@WPG,WPG,CHI,,,,0,3
41852-41391,C,Nathan,Nathan MacKinnon,MacKinnon,15.1039,34,9100,CAR@COL,COL,CAR,,,,,1
41852-8741,C,Nazem,Nazem Kadri,Kadri,14.2095,31,5100,CAR@COL,COL,CAR,,,,,2
41852-80005,D,Neal,Neal Pionk,Pionk,8.1494,34,4200,CHI@WPG,WPG,CHI,,,,,2
41852-39311,C,Nicholas,Nicholas Shore,Shore,5.17893,26,3000,CHI@WPG,WPG,CHI,,,,0,4
41852-11122,C,Nick,Nick Bonino,Bonino,8.3232,33,4300,NSH@OTT,NSH,OTT,,,,0,4
41852-15307,W,Nick,Nick Cousins,Cousins,9.60333,28,3700,MON@CGY,MON,CGY,,,,,3
41852-8539,C,Nick,Nick Foligno,Foligno,9.288,31,4600,LA@CBJ,CBJ,LA,,,,,3
41852-10842,D,Nick,Nick Holden,Holden,5.29627,28,3500,VGK@VAN,VGK,VAN,,,,0,3
41852-11170,D,Nick,Nick Leddy,Leddy,6.12147,24,3800,NYI@BOS,NYI,BOS,,,,,1
41852-59261,W,Nick,Nick Paul,Paul,5.64613,30,3100,NSH@OTT,OTT,NSH,,,,,2
41852-73889,W,Nick,Nick Schmaltz,Schmaltz,6.64493,36,4700,MIN@ARI,ARI,MIN,,,,,2
41852-82006,C,Nick,Nick Suzuki,Suzuki,6.9366,34,3600,MON@CGY,MON,CGY,,,,,3
41852-103262,C,Nico,Nico Sturm,Sturm,4.22227,1,3000,MIN@ARI,MIN,ARI,,,,,3
41852-59263,W,Nicolas,Nicolas Aube-Kubel,Aube-Kubel,5.78547,2,3000,BUF@PHI,PHI,BUF,,,,,2
41852-43214,W,Nikita,Nikita Kucherov,Kucherov,12.9113,31,8200,DAL@TB,TB,DAL,,,,,1
41852-42994,D,Nikita,Nikita Zadorov,Zadorov,6.4726,30,3600,CAR@COL,COL,CAR,,,,,1
41852-104423,W,Nikolai,Nikolai Prokhorkin,Prokhorkin,5.2496,16,3300,LA@CBJ,LA,CBJ,,,,,3
41852-58907,W,Nikolaj,Nikolaj Ehlers,Ehlers,10.0261,34,5300,CHI@WPG,WPG,CHI,,,,,2
41852-12728,W,Nino,Nino Niederreiter,Niederreiter,8.5592,34,4600,CAR@COL,CAR,COL,,,,,2
41852-64101,D,Noah,Noah Hanifin,Hanifin,8.6308,36,3700,MON@CGY,CGY,MON,,,,,2
41852-42773,W,Oliver,Oliver Bjorkstrand,Bjorkstrand,11.2489,34,5200,LA@CBJ,CBJ,LA,,,,,1
41852-12244,D,Oliver,Oliver Ekman-Larsson,Ekman-Larsson,10.447,36,4700,MIN@ARI,ARI,MIN,,,,,1
41852-66689,D,Oliver,Oliver Kylington,Kylington,5.2868,26,3500,MON@CGY,CGY,MON,,,,0,3
41852-42862,D,Olli,Olli Maatta,Maatta,5.73107,31,3500,CHI@WPG,CHI,WPG,,,,0,3
41852-15315,W,Ondrej,Ondrej Palat,Palat,9.15507,32,4600,DAL@TB,TB,DAL,,,,,1
41852-80036,D,Oscar,Oscar Fantenberg,Fantenberg,6.9106,8,3500,VGK@VAN,VAN,VGK,,,,,2
41852-9354,W,Pat,Pat Maroon,Maroon,8.79133,30,3200,DAL@TB,TB,DAL,,,,,3
41852-8175,C,Patrice,Patrice Bergeron,Bergeron,11.7101,26,8300,NYI@BOS,BOS,NYI,,,,,1
