Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Min Deviation,Max Deviation,Min Exposure,Max Exposure,Name,Min,Ur,Fd,Value
41843-42550,PF,Jabari,Jabari Parker,Parker,27.4,28,5300,UTA@ATL,ATL,UTA,,,,,,,,Jabari Parker,25.7,23.55,27.4,5.169811321
41843-9688,PF,LaMarcus,LaMarcus Aldridge,Aldridge,38.16,24,7600,BKN@SA,SA,BKN,,,,,,,,LaMarcus Aldridge,32.9,22.63,38.16,5.021052632
41843-67708,PG,Dejounte,Dejounte Murray,Murray,28.05,23,6600,BKN@SA,SA,BKN,,,,,,,,Dejounte Murray,27.8,22.63,28.05,4.25
41843-23776,C,Montrezl,Montrezl Harrell,Harrell,29.28,29,6500,HOU@LAC,LAC,HOU,,,,,,,,Montrezl Harrell,25.4,22.11,29.28,4.504615385
41843-23572,SF,Taurean,Taurean Prince,Prince,28.66,27,5400,BKN@SA,BKN,SA,,,,,,,,Taurean Prince,31.7,21.84,28.66,5.307407407
41843-9577,SF,Rudy,Rudy Gay,Gay,23.17,26,4700,BKN@SA,SA,BKN,,,,,,,,Rudy Gay,22.9,20.58,23.17,4.929787234
41843-16363,SF,Joe,Joe Harris,Harris,25.07,27,5000,BKN@SA,BKN,SA,,,,,,,,Joe Harris,31.9,19.71,25.07,5.014
41843-110339,SF,Cam,Cam Reddish,Reddish,22.84,25,3900,UTA@ATL,ATL,UTA,,,,,,,,Cam Reddish,30,19.14,22.84,5.856410256
41843-80821,PF,Jarrett,Jarrett Allen,Allen,32.88,27,6100,BKN@SA,BKN,SA,,,,,,,,Jarrett Allen,27.6,18.29,32.88,5.390163934
41843-40203,C,Rudy,Rudy Gobert,Gobert,43.48,25,7800,UTA@ATL,UTA,ATL,,,,,,,,Rudy Gobert,34,17.97,43.48,5.574358974
41843-110338,SF,De'Andre,De'Andre Hunter,Hunter,23.78,27,4800,UTA@ATL,ATL,UTA,,,,,,,,De'Andre Hunter,32.7,17.96,23.78,4.954166667
41843-59318,SF,Joe,Joe Ingles,Ingles,31.49,27,5600,UTA@ATL,UTA,ATL,,,,,,,,Joe Ingles,31.6,17.46,31.49,5.623214286
41843-11074,SG,Garrett,Garrett Temple,Temple,24.82,27,4700,BKN@SA,BKN,SA,,,,,,,,Garrett Temple,32.4,17.27,24.82,5.280851064
41843-49675,PG,Derrick,Derrick White,White,21.43,24,4300,BKN@SA,SA,BKN,,,,,,,,Derrick White,22.9,17.07,21.43,4.98372093
41843-9703,PG,George,George Hill,Hill,21.19,26,4000,LAL@MIL,MIL,LAL,,,,,,,0,George Hill,22.9,16.67,21.19,5.2975
41843-9455,PG,Rajon,Rajon Rondo,Rondo,21.96,16,4600,LAL@MIL,LAL,MIL,,,,,,,,Rajon Rondo,24,16.49,21.96,4.773913043
41843-84704,SG,Kevin,Kevin Huerter,Huerter,25.82,17,4800,UTA@ATL,ATL,UTA,,,,,,,,Kevin Huerter,30,16.39,25.82,5.379166667
41843-15727,SG,Ben,Ben McLemore,McLemore,20.61,27,4200,HOU@LAC,HOU,LAC,,,,,,,0,Ben McLemore,30,16.37,20.61,4.907142857
